0,1,2,3,4
,SN2020jfo, II,'2020-05-06 04:51:41.184,
,SN2020hvp, Ib,'2020-04-21 12:24:28.800,
,SN2020jgl, Ia,'2020-05-07 06:54:43.200,
,SN2020jdo, Ia,'2020-05-01 11:13:10.000,
,SN2020fxa, Ia,'2020-04-04 11:00:17.001,
,SN2020ekk, II,'2020-03-11 18:41:05.000,
,SN2020ees, Ia,'2020-03-05 11:19:40.800,
,SN2020dul, Ia,'2020-03-02 13:06:14.400,
,SN2020dhj, Ia,'2020-02-24 11:01:04.000,
,SN2020cwd, Ibn,'2020-02-19 04:48:00.000,
,SN2020cui, IIn,'2020-02-09 10:03:26.000,
,SN2020bvc, Ic-BL,'2020-02-04 14:52:48.000,
,SN2020bpi, Ia,'2020-01-30 12:16:34.000,
,SN2020bio,,'2020-01-29 18:27:37.000,
,SN2020big, Ibn,'2020-01-29 07:40:48.000,
,SN2020aqe, II,'2020-01-23 13:47:59.000,
,SN2020akf, Ia-91T-like,'2020-01-20 12:04:19.000,
,SN2020aeq,,'2020-01-18 05:38:05.000,
,SN2020vg, II,'2020-01-13 12:33:03.000,
,SN2020mr,,'2020-01-06 04:29:31.000,
,SN2019vrq, Ia-91T-like,'2019-11-28 05:45:36.000,
,SN2019xtw, II,'2019-12-24 05:45:36.000,
,SN2019xdf, II,'2019-12-19 14:31:12.000,
,SN2019wep, II-pec,'2019-12-07 23:16:30.000,
,SN2019wbg,LBV,'2019-12-03 14:25:26.000,
,SN2019vxm, II,'2019-12-01 00:57:36.000,
,SN2019tua, II,'2019-10-31 07:52:19.000,
,SN2019pjs, II,'2019-09-04 03:29:43.000,
,SN2019oys, Ib,'2019-08-28 11:36:57.000,
,SN2019ovr, II,'2019-08-28 12:08:27.000,
,SN2019ofc, II,'2019-08-22 12:18:43.000,
,SN2019oet,LBV,'2019-08-22 10:29:16.000,
,SN2019odp, Ic-BL,'2019-08-21 09:19:53.000,
,SN2019odf, II,'2019-08-21 09:17:14.000,
,SN2019nyk, II,'2019-08-20 10:03:28.000,
,SN2019nvm, II,'2019-08-19 04:25:53.000,
,SN2019njv, IIn,'2019-08-12 07:10:33.000,
,SN2019muj, Iax[02cx-like],'2019-08-07 09:36:00.000,
,SN2019lsm, Ibn,'2019-07-25 06:46:04.000,
,SN2019kbj, II,'2019-07-01 11:42:43.000,
,SN2019jyw, II,'2019-06-28 10:40:26.000,
,SN2019hcc,SL-I,'2019-06-06 22:29:16.000,
,SN2019gte,TDE,'2019-05-31 06:04:01.000,
,SN2019gbx, Ia,'2019-05-29 08:02:24.000,
,SN2019gaf, IIb,'2019-05-27 13:06:14.000,
,SN2019gsb,,'2019-06-01 10:43:40.000,
,SN2019gfr,,'2019-05-29 06:28:48.000,
,SN2019fxy,,'2019-05-24 07:14:52.000,
,SN2019enr, II,'2019-05-04 07:49:26.000,
,SN2019ein, Ia,'2019-05-01 11:22:33.000,
,SN2019ehk, Ib,'2019-04-29 22:27:50.000,
,SN2019eez,,'2019-04-27 23:45:36.000,
,SN2019edo, II,'2019-04-27 07:26:24.000,
,SN2019lei,,'2019-07-08 11:09:23.000,
,SN2019hge,SL-I,'2019-05-31 11:11:30.000,
,SN2019esa, IIn,'2019-05-06 03:41:45.000,
,SN2019enz,SLSN-I,'2019-05-04 10:46:33.000,
,SN2019enr, II,'2019-05-04 07:49:26.000,
,SN2019ein, Ia,'2019-05-01 11:22:33.000,
,SN2019ehk,Ib,'2019-04-29 22:27:50.000,
,SN2019eez,,'2019-04-27 23:45:36.000,
,SN2019edo, II,'2019-04-27 07:26:24.000,
,SN2019cqc,SLSN-I,'2019-03-25 12:10:17.000,
,SN2019clr,,'2019-03-28 11:19:34.000,
,SN2019cca,SLSN-I,'2019-03-15 06:20:35.000,
,SN2019cad, Ic,'2019-03-17 05:42:43.000,
,SN2019azh,TDE,'2019-02-22 00:28:48.000,
,SN2018jbv,,'2018-11-26 13:30:43.000,
,SN2019ata, Ia,'2019-02-09 11:57:07.000,
,SN2019arb, Ia,'2019-02-08 11:07:40.000,
,SN2019ahd,LBV,'2019-01-29 12:27:21.000,
,SN2019abn,ILRT,'2019-01-22 13:19:43.000,
,SN2019yv,Galaxy,'2019-01-23 10:26:32.000,
,SN2019yz, Ic,'2019-01-20 12:23:02.000,
,SN2019rz, IIn,'2019-01-14 09:50:24.000,
,SN2019rn, IIb,'2019-01-12 07:14:52.000,
,SN2019np, Ia,'2019-01-09 15:57:35.000,
,SN2019kf, Ia,'2019-01-08 10:54:01.000,
,SN2019bm,,'2019-01-02 14:16:48.000,
,SN2019bl,,'2019-01-02 11:03:50.000,
,SN2018lei, Ic,'2018-12-31 03:36:00.000,
,SN2018kzr, Ic,'2018-12-28 10:07:40.000,
,SN2018kpo, II,'2018-12-24 08:55:40.000,
,SN2018jov, Ia,'2018-12-08 13:59:31.000,
,DLT18ar,,,
,DLT18aq,,,
,SN2018aad, II-pec,'2018-03-05 01:55:12.000,
,SN2018jky, Ia,'2018-12-05 03:36:00.000,
,SN2018jag, Ia-91bg-like,'2018-11-25 10:35:32.000,
,SN2018ivc, II,'2018-11-24 01:47:09.000,
,SN2018ilu,Ia,'2018-11-12 08:48:28.000,
,SN2018imf,II,'2018-11-14 20:46:50.000,
,SN2018ibb,SLSNI,'2018-09-10 13:52:19.000,
,ASASSN-18ze,,,
,SN2018jov, Ia,'2018-12-08 13:59:31.000,
,ASASSN-18aar,,,
,SN2018jky, Ia,'2018-12-05 03:36:00.000,
,SN2018hmx, II,'2018-10-17 15:30:14.000,
,SN2018fyk,TDE,'2018-09-08 05:31:12.000,
,SNinPGC2086067,,,
,SN2018hpu, Ia,'2018-10-19 03:42:12.000,
,SN2018htr,LBV,'2018-11-03 23:43:48.000,
,SN2018hti,SLSN-I,'2018-11-02 12:25:55.000,
,SN2018hmx, II,'2018-10-17 15:30:14.000,
,SN2018hso,IIn,'2018-10-31 12:51:50.000,
,SN2018bgv,SL-I,'2018-05-06 17:19:40.000,
,SN2018ivc, II,'2018-11-24 01:47:09.000,
,SN2018ilu,Ia,'2018-11-12 08:48:28.000,
,SN2018hrg,Nova,'2018-10-31 08:54:27.000,
,SN2018hpu, Ia,'2018-10-19 03:42:12.000,
,SN2018hkx, Ia,'2018-10-16 08:38:24.000,
,SN2018gwo, Ib-Ca-rich,'2018-09-28 02:41:31.000,
,SN2018gro, Ia-91bg-like,'2018-09-20 06:17:28.000,
,SN2018gn, II,'2018-01-14 02:38:24.000,x
,SN2018gep, Ic-BL,'2018-09-09 03:55:17.000,58370
,SN2018get, II,'2018-09-10 14:39:50.000,
,SN2018fvz,,'2018-09-04 14:25:26.000,
,SN2018fes,,'2018-08-17 10:59:31.000,
,SN2018feb, Ia,'2018-08-16 03:56:09.000,
,SN2018feq, Ia-91T-like,'2018-08-17 05:31:12.000,
,SN2018evk, II,'2018-08-08 14:06:43.000,
,SN2018evt,Ia-91T-CSM,'2018-08-11 00:06:52.000,
,SN2018cuf,II,'2018-06-23 15:53:16.000,
,SN2018add,,'2018-03-09 02:45:36.000,
,ASASSN-18xl,,,
,SN2018dfy, IIP,'2018-07-10 11:35:47.000,
,SN2018dfg, II,'2018-07-10 10:24:54.000,
,SN2018bvt,,'2018-05-21 04:06:53.000,
,SN2018bgv,SL-I,'2018-05-06 17:19:40.000,
,SN2018bsk,,'2018-05-16 05:08:25.000,
,SN2018ahz,AGN,'2018-02-13 15:50:24.000,
,SN2018cmi,,'2018-06-13 03:59:58.000,
,SN2018bek, II,'2018-05-05 01:26:24.000,
,SN2018fhw,Ia,'2018-08-21 07:26:24.000,
,SN2018fek?,,,
,SN2018feb, Ia,'2018-08-16 03:56:09.000,
,SN2018evk,II,'2018-08-08 14:06:43.000,
,SN2018cni, Ia-pec,'2018-06-13 13:31:30.000,
,SN2018bwo,LRN,'2018-05-22 22:16:19.000,
,SN2018bvt,,'2018-05-21 04:06:53.000,
,SN2018bto,,'2018-05-18 04:14:29.000,
,SN2018bta, Ia,'2018-05-17 12:06:00.000,
,SN2018bsk,,'2018-05-16 05:08:25.000,
,SN2018bgv,SL-I,'2018-05-06 17:19:40.000,
,SN2018avk, Ic,'2018-04-14 17:45:36.000,
,SN2018atq,SL-II,'2018-04-11 14:46:04.000,
,SN2018aad,II-pec,'2018-03-05 01:55:12.000,
,ASASSN-18gq,,,
,ASASSN-18ge,Ib,,
,# end of volume-limited sample,,,
,ASASSN-18da,Ia,,
,ASASSN-18bt,Ia,,
,ASASSN-18ap,II,,
,ASASSN-18an,Ia,,
,SN2018zr,TDE,'2018-03-02 07:48:00.000,
,SN2018yu,Ia,'2018-03-01 05:21:07.000,
,SN2018xx,Ia,'2018-02-21 09:10:04.000,
,SN2018pv,Ia,'2018-02-03 15:09:07.000,
,SN2018pc,Ia,'2018-02-03 18:00:00.000,
,SN2018kp,Ia,'2018-01-24 08:42:06.000,
,SN2018gv,Ia,'2018-01-15 16:21:06.000,
,SN2018gk,II,'2018-01-13 15:21:36.000,x
,SN2018gj,IIb,'2018-01-14 09:49:23.000,
,SN2018bi,Ia,'2018-01-07 19:45:07.000,
,SN2018afm,II?,'2018-03-13 03:19:35.000,? - possibly 217.66
,SN2017lf,Ia,'2017-01-22 14:09:36.000,
,SN2017jmk,II,'2017-12-31 01:57:14.000,x
,SN2017jl,Ia,'2017-01-16 05:16:48.000,
,SN2017jd,Ia,'2017-01-09 05:08:09.000,
,ASASSN-17ri,Ia,,
,SN2017jbj,CC,'2017-12-20 11:22:29.000,58104.1(5)
,SN2017izu,Ia,'2017-12-14 23:26:52.000,
,SN2017iyb,Ia,'2017-12-16 10:43:40.000,
,ASASSN-17qz,Ia,,
,ASASSN-17qg,Ia,,
,ASASSN-17pk,Ia,,
,SN2017ivu,IIP,'2017-12-11 20:34:32.000,
,ASASSN-17pg,Ia,,
,SN2017iji, Ia,'2017-11-20 15:21:36.000,
,SN2017igf, Ia,'2017-11-18 14:09:36.000,
,SN2017hpa,Ia,'2017-10-25 08:18:16.000,
,SN2017hoq,Ia,'2017-10-21 13:13:26.000,
,SN2017hjy,Ia,'2017-10-14 11:55:40.000,
,ASASSN-17ng,Ia,,
,SN2017hjw,Ia,'2017-10-14 13:46:33.000,
,SN2017hle,Ia-91bg,'2017-10-18 16:25:32.000,
,SN2017hgz, Ia,'2017-10-10 00:28:48.000,
,SN2017hbj,II,'2017-10-03 01:31:41.000,x
,ASASSN-17mz,Ia,,
,SN2017hou,Ia,'2017-10-24 08:53:00.000,
,SN2017hcc, IIn,'2017-10-02 09:04:19.000,
,SN2017gxq,Ia,'2017-09-17 10:52:19.000,
,SN2017guh, Ia,'2017-09-18 07:26:24.000,
,SN2017gup,Ia,'2017-09-17 13:20:38.000,
,ASASSN-17mh,Ia,,
,#MASTERJ132501.00+431846.1 CV,Unk,,
,#ASASSN-17lz declined,Ia,,
,SN2017gry,II,'2017-09-10 00:04:19.000,x
,SN2017gpn,IIb,'2017-09-06 03:21:12.000,
,SN2017glq,Ia,'2017-09-03 08:34:51.000,
,SN2017glx,Ia-91T,'2017-09-03 16:50:30.000,
,SN2017gjn,Ia,'2017-08-29 20:38:17.000,
,SN2017gkk,IIb,'2017-08-31 18:52:02.000,
,#SN2017ghu declined?,unk,,
,SN2017ghs,Unk,'2017-08-22 00:38:52.000,
,SN2017gci,SLSN-I,'2017-08-12 19:37:55.000,x
,SN2017gbb ,Iax,'2017-08-09 05:38:24.000,
,SN2017gas,IIn,'2017-08-10 09:36:00.000,
,#SN2017fzy declined,Ia,,
,# SN2017fyp nova,nova,,
,SN2017fvl,Ia,'2017-08-01 14:38:24.000,
,SN2017fhm,,'2017-06-25 13:00:28.000,x
,#SN2017fro?,AGN,,
,SN2017ffv,Ia,'2017-07-10 07:42:14.000,
,SN2017fgc,Ia,'2017-07-11 11:15:21.000,
,ASASSN-17ip,Unk,,x
,SN2017faf,SLSN-II,'2017-06-28 10:23:31.000,
,SN2017faa,II,'2017-06-27 07:32:09.000,x
,SN2017ezd,Ia,'2017-06-17 23:13:14.000,
,SN2017exo,Ia,'2017-06-24 10:19:12.000,
,SN2017erv,Ia,'2017-06-13 08:52:48.000,
,SN2017eqx,,'2017-06-07 13:26:24.000,
,SN2017err,,'2017-06-12 06:57:36.000,
,ASASSN-17gx,,,
,SN2017ens,,'2017-06-05 06:14:24.000,
,#OGLE17aaj?,TDE,,
,SN2017evn,Ia,'2017-06-20 06:14:24.000,
,#SN2017egv,cv,,
,ASASSN-17ho,,,
,SN2017eoc,,'2017-06-08 10:14:11.000,
,SN2017enx,,'2017-06-06 01:40:48.000,
,SN2017emq,Ia,'2017-06-03 06:33:07.000,
,SN2017ekr,Ia,'2017-06-01 13:14:52.000,
,ASASSN-17hb,Ia,,
,#SN2017emb not observed_mislabeled should be 2017ebm?,,,
,SN2017egb,Ia,'2017-05-24 09:21:36.000,
,SN2017ejb,Ia-91bg-like,'2017-05-28 15:08:38.000,
,SN2017ebm,Ia-91bg,'2017-05-13 09:34:33.000,
,SN2017dzs,Ia-91bg-like,'2017-05-11 18:51:35.000,
,SN2017dwq,IIn,'2017-05-04 00:57:36.000,
,SN2017dwh,SL-I,'2017-04-26 14:28:19.000,
,SN2017drh,Ia,'2017-05-03 13:55:12.000,
,SN2017kdz,Ia,'2017-04-09 03:30:54.000,
,SN2017dps,Ia,'2017-05-01 06:28:48.000,
,SN2017dit,Ia,'2017-04-24 23:09:36.000,
,SN2017dei,Ia,'2017-04-17 00:43:12.000,
,ASASSN-17fk,Ia,,
,SN2017dgm,Ia,'2017-04-21 22:23:31.000,
,SN2017dcc,Ic-BL,'2017-04-16 10:48:00.000,x
,SN2017des,,'2017-04-16 07:23:31.000,
,SN2017dau,LBV,'2017-04-12 11:34:04.000,
,SN2017daf,Ia,'2017-04-15 12:28:48.000,
,SN2017cze,Ia,'2017-04-11 06:57:36.000,
,SN2017cyy,Ia,'2017-04-12 18:02:52.000,
,#SN2017cxx,,,
,ASASSN-17em,,,
,SN2017ckq,Ia,'2017-03-23 10:35:02.000,
,ASASSN-17ea,Ia,,
,SN2017cjb,II,'2017-03-23 13:58:42.000,x
,SN2017cfd,Ia,'2017-03-16 06:32:37.000,
,SN2017cbr,Ia,'2017-03-08 15:07:12.000,
,SN2017azw,Ia,'2017-02-21 00:32:08.000,
,SN2017cak,,'2017-03-05 13:42:14.000,
,SN2017czw,,'2017-04-03 13:39:21.000,
,SN2017bzc,Ia,'2017-03-07 05:16:28.000,
,#SN2017bgt,AGN,,
,SN2017bkc,Ia,'2017-02-23 15:21:36.000,
,SN2017bgu,Ib,'2017-02-22 14:55:40.000,
,#AT2017bgt,AGN,,
,SN2017bcc,SLSN-II,'2017-02-18 09:56:09.000,
,SN2017aut,Ia,'2017-02-14 00:43:12.000,
,SN2017awz,Ia-91T-like,'2017-02-17 11:29:45.000,
,SN2017awk,Ia,'2017-02-16 15:07:12.000,
,SN2017atv,Ia,'2017-02-14 05:32:38.000,
,SN2017ati,IIb,'2017-02-06 10:14:52.000,
,SN2017ahn,II,'2017-02-08 08:35:31.000,x
,SN2017yv,Ia,'2017-01-31 04:33:36.000,
,SN2017it, II,'2017-01-05 20:06:43.000,
,SN2017ln,Ia	,'2017-01-19 12:57:36.000,
,SN2017hm,Ia,'2017-01-09 14:52:48.000,
,SN2017bc, Ia        ,'2017-01-05 12:00:00.000,
,SN2016jbu,imposter?,'2016-12-01 14:18:14.000,
,SN2016jag,,'2016-12-23 20:29:30.000,
,SN2016iyz,II,'2016-12-20 09:36:50.000,x
,SN2016iyd, II,'2016-12-19 06:43:12.000,x
,SN2016iuh,Ia-91bg-like,'2016-12-09 06:04:19.000,
,SN2016itd,Ia,'2016-12-02 06:17:16.000,
,SN2016ito,Ia,'2016-12-08 08:38:24.000,
,SN2016iog,II,'2016-11-27 13:26:24.000,x
,SN2016ipf,Ia,'2016-11-28 14:49:55.000,
,SN2016igr,Ia,'2016-11-18 08:38:24.000,
,SN2016iet, I,'2016-11-14 14:16:48.000,
,SN2016ieq,IIn,'2016-11-14 10:20:38.000,
,SN2016iae,Ic,'2016-11-07 11:22:33.000,x
,SN2016hvl,Ia-91T,'2016-11-04 14:47:02.000,
,SN2016hsc,Ia,'2016-10-01 17:06:43.000,
,SN2016hli,Ia,'2016-10-25 10:32:09.000,
,SN2016hpw,Ia,'2016-10-30 05:47:02.000,
,SN2016huh,Ia,'2016-11-04 07:26:24.000,
,SN2016hrv,II,'2016-10-31 03:36:00.000,x
,#beginning of Swift-ASASSN program,,,
,SN2016hgm,II,'2016-10-19 09:10:45.000,x
,OGLE16dmu,SLSN-I,,
,SN2016frp, Ib-pec,'2016-08-27 18:36:59.000,
,SN2016fff,Ia,'2016-08-23 06:00:00.000,
,SN2016enk,IIP,'2016-08-03 07:07:18.000,
,#SN2016ewr,CV,,
,SN2016cvk,IIn,'2016-06-12 15:18:54.000,
,#SN2016cpd,,,
,#AT2016cny,cv,,
,iPTF16eh,SLSN-I,,
,SN2016bmd,IIb,'2016-04-12 06:57:36.000,
,# ASASSN-16do is a cv,,,
,Gaia16alf,Ia,,
,SN2016bau,Ib,'2016-03-13 23:22:33.000,57460 pm 1
,SN2016ard,SLSN-I,'2016-02-16 00:00:00.000,
,SN2016arc,Ia ,'2016-02-26 05:45:36.000,
,#SN2016ajn,CV or nova,,
,SN2016aiy,IIn,'2016-02-17 08:52:48.000,
,SN2016zd, Ia,'2016-02-02 06:43:12.000,
,SN2016L,IIP,'2016-01-15 08:38:24.000,
,SN2016P,Ic-BL,'2016-01-19 04:36:28.000,25-Sep-15
,SN2016G,Ic-BL,'2016-01-09 22:26:24.000,x
,ASASSN-15um,Ic,,x
,ASASSN-15ua,,,
,SN2015dd,Ib,'2015-12-15 01:41:58.000,
,SNinNGC7123,Ia,,
,#iPTF15eov,,,
,#ASASSN-15th,Nova,,
,SN2015Z,IIn,'2015-06-16,
,PSNJ09100885+5003396,Ia-SC,,
,SN2015dc,Ia?,'2015-10-20 02:14:34.000,
,ASASSN-15qh,II,,x
,SN2015an,IIP,'2015-09-13,
,ASASSN-15oz,II,,"MJD = 57648+8
−4 a"
,PSNJ23374322-4730393,Ia,,
,ASASSN-15ns,Ia,,
,PS15aot,Ia-91bg?,,
,SN2015V,II,'2015-04-04,57112.5(4) MDJ
,ASASSN-15hy,Ia-SC,,
,ASASSN-15hx,Ia,,
,ASASSN-15hf,Ia,,
,ASASSN-15fz,II,,x
,#SNinNGC5112,LBV,,
,#ASASSN-15ek nova,nova,,
,PS15jf,imposter?,,
,SNhunt60,IIb,,
,Gaia15acw,II,,x
,ASASSN-14ms,Ibn,,
,SN2014es,IIn,'2014-11-20 10:48:00.000,
,ASASSN-14kr,Ia,,
,SN2014ge,Ib,'2014-10-28 20:59:20.000,
,PSNinNGC55,imposter?,,
,# ASASSN-14hu not observed wrong coordinates,Ia,,
,CSS141028,Ib,,
,SN2014gf,IIn/Ia-CSM,'2014-09-20 19:27:08.000,
,SN2014df,Ib,'2014-06-03,
,SN2014cp,Ic-BL,'2014-06-23,x
,ASASSN-14fd,IIn,,
,ASASSN-14dd,Ibn,,
,SNhunt248,IIn?,,
,ASASSN-14bu,IIP,,
,SN2014bc,IIP,'2014-05-19,
,iPTF14aoi,II,,
,SN2014as,Ic,'2014-04-18,x
,CSS14,IIn,,
,PSN2014inM61,imp?,,
,SN2014ad,Ic-BL,'2014-03-12,"JD 245,6725"
,AT2016blu,LBV,,
,LSQ14pt,IIn,,
,#ASASSN-14ae,tidal disruption event,,
,SNinNGC2196,Ic,,x
,SN2014A,IIP,'2014-01-01,
,ASASSN-13dn,II,,
,LSQ13cuw,IIL,,
,ASASSN-13cj,Ia,,
,SN2013dn,IIn,'2013-06-14,
,SN2013I,IIn,'2013-01-11,
,SN2013F,Ib/c,'2013-01-05,
,SN2012hs,II,'2012-12-15,
,SN2012dh,IIb,'2012-06-26,
,SN2012cu,Ia,'2012-06-14,
,SN2012ck,II,'2012-05-19,
,SN2012cc,II-87K,'2012-04-29,
,SN2012au,Ib,'2012-03-14,55989.5
,SN2012ak,II,'2012-02-21,
,SN2012K,II,'2012-01-08,
,PS1-12sk,Ibn,,
,SN2011iy,Ia,'2011-12-09,
,SN2011cj,IIP,'2011-05-09,
,PTF11dfs,SLSN-II,,
,PTF11qcj,Ic-BL,,MJD 55842
,SN2010mb,Ic-PI?,'2010-04-10,MJD 55273
,SN2010hq,IIP,'2010-09-08,
,SN2010dn,LBV,'lumi-ou- b,
,SN2010bv,Ia,'2010-04-19,
,SN2010br,Ibc,'2010-04-10,
,# no SN2010am -- mislabeled in template observations,,,
,SN2010ah,Ic,'2010-02-23,MJD 55274
,SN2010X,?,'2010-02-07,
,SN2010C,LBV,'2010-01-10,
,"#SN2010B was not observed, SN2011B was misnamed in request",,,
,PTF10qts,Ic-BL,,MJD 55424.6
,#PTF10fqs red nova,,,
,PTF10abyy,II,,
,SN2009jf,Ib,'2009-09-27,55099
,SN2009dd,II,'2009-04-13,
,SN2009au,IIn,'2009-03-11,x
,SN2009at,II,'2009-03-11,x
,SN2008fz,Ic,'2008-09-22,x
,SN2008eb,Ic,'2008-07-07,x
,SN2008dq,Ic,'2008-06-25,x
,SN2007ch,IIP,'2007-05-11,x
,SN2006lt,Ib,'2006-10-11,
,SN2005ip,IIn,'2005-11-05,2005 October 27.2
,SN2005bf,Ib,'2005-04-05,"JD 2,453,459.5"
,SN2005bc,Ia,'2005-04-02,
,,,,
,,,,
,#SNname1,type,,
,#SNname1,,,
,#Possible Supernovae,,,
,#iPTF14aki,Ibn?,,
,#no SN2008L  but it was close to SN2006gy,,,
,#ASASSN-14du,galactic source,,
,#ASASN-13do,,,
,#ROTSE3 J120847.9+430121,,,
,#PTF09dh,,,
,,,,
,#PTF11ya,?,,
,,,,
,#CSS100217,?,,
,#CSS100217:102913+404220,,,
,#PTF10tel,,,
,#NGC5430OT,? ,,
,,,,
,#PTF10abpr,? ,,
,#PTF10acbp,? ,,
,#PTF10aadb,,,
,,,,
,#PTF10bhp,?,,
,,,,
,#PTF10kcn,?,,
,#PTF10gva,?,,
,#PTF10gbq,?,,
,,,,
,#,,,
,#,imp?,,
,,,,
,#PS1-11aqj,,,
,#PS1-11bdn,,,
,,,,
,#PTF11glr,,,
,#PTF11hzx,,,
,#PTF11lmr,,,
,#PTF11pdt,,,
,,,,
,#PTF11qcj,,,
,#PTF11qij,,,
,#PTF11qnf,,,
,#PTF11qiq,,,
,,,,
,#PTF11rfh,,,
,#PTF11rkm,,,
,,,,
,,,,
,#PTF11rfh ,,,
,#MASTER-OT082752.77+704606.0,?,,
,,,,
,#LSQ12ayr,,,
,,,,
,#CSS120327110520-015205,,,
,#CSS120225,,,
,#MASTER_J113122.95-075714,,,
,,,,
,,,,
,#PS1-12fo,,,
,#PS1-12lv,not a SN (Margutti priv comm),,
,,,,
,#PTF12as,,,
,#PTF12bho,,,
,#PTF12bro,,,
,#PTF12csy,,,
,,,,
,#PTF12dcp,,,
,#PTF12dja,,,
,#PTF12eec,,,
,#PTF12efc,,,
,#PTF12efk,,,
,#PTF12emw,,,
,,,,
,#PTF12fip,,,
,#PTF12gnn,,,
,#PTF12gps,,,
,#PTF12mkp,,,
,,,,
,#PTF12os,,,
,#PTFS1222as,,,
,#PTFS1222al,,,
,#PTFS1222aq,,,
,#PTFS1222ar,,,
,#PTFS1221ab,,,
,#PTF12jaa,,,
,#PTF12mhg,,,
,,,,
,,,,
,#LSQ12dyw,TD?,,
,#LSQ12heq,TD?,,
,,,,
,#PSNJ12355230+2755559,,,
,#MASTERJ042609.3,,,
,#MASTER OT J092437.95+49212.0,,,
,,,,
,#CSS1210115,,,
